Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_cd2_e,,,EX_cd2_e
1,3OAR80,-19.44029752308225,1.3798168401091022,3OAR80
2,EX_cbi_e,,,EX_cbi_e
3,EX_cbl1_e,,,EX_cbl1_e
4,2AGPEAT120,,,2AGPEAT120
5,2AGPEAT140,,,2AGPEAT140
6,3OAS100,,,3OAS100
7,12DGR120tipp,148.3285942656595,4.2215859139105305e-05,12DGR120tipp
8,2AGPEAT141,,,2AGPEAT141
9,3OAS120,,,3OAS120
10,2AGPEAT160,-21.454724502522176,39.93135833740234,2AGPEAT160
11,2AGPEAT161,,,2AGPEAT161
12,2AGPEAT180,-20.562228393513188,40.84992218017578,2AGPEAT180
13,12DGR140tipp,,,12DGR140tipp
14,2AGPEAT181,-15.937197186225896,2.819749355316162,2AGPEAT181
15,3OAS121,17.456061926601233,3.8834497254311264,3OAS121
16,2AGPG120tipp,,,2AGPG120tipp
17,2AGPG140tipp,114.09893585212932,3.3933571103261784e-05,2AGPG140tipp
18,12DGR141tipp,159.7384700863328,7.504098175559193e-05,12DGR141tipp
19,12DGR160tipp,193.96816346632127,6.888053758302703e-05,12DGR160tipp
20,12DGR161tipp,182.55827177650747,8.443171827821061e-05,12DGR161tipp
21,2AGPG141tipp,108.39399496599135,2.3630935174878687e-05,2AGPG141tipp
22,12DGR180tipp,216.7879517287621,6.83593752910383e-05,12DGR180tipp
23,3OAS140,,,3OAS140
24,12DGR181tipp,205.37805271472928,6.454738468164578e-05,12DGR181tipp
25,2AGPG160tipp,125.50881777631864,4.108441498829052e-05,2AGPG160tipp
26,3OAS141,20.49172211086939,3.49899955848343,3OAS141
27,2AGPG161tipp,,,2AGPG161tipp
28,2AGPG180tipp,136.91872411457007,4.476420144783333e-05,2AGPG180tipp
29,2AGPG181tipp,131.21377956632267,3.2817391911521554e-05,2AGPG181tipp
30,2AGPGAT120,,,2AGPGAT120
31,2AGPGAT140,,,2AGPGAT140
32,2AGPGAT141,,,2AGPGAT141
33,2AGPGAT160,-21.008481218787217,2.205985307693481,2AGPGAT160
34,2AGPGAT161,,,2AGPGAT161
35,2AGPGAT180,-21.00848121878702,2.206018447875977,2AGPGAT180
36,3OAS160,,,3OAS160
37,2AGPGAT181,,,2AGPGAT181
38,3OAS161,,,3OAS161
39,3OAS180,,,3OAS180
40,3OAS181,,,3OAS181
41,3OAS60,,,3OAS60
42,3OAS80,,,3OAS80
43,3OXCOAT,-26.863451452724064,1.4787402153015137,3OXCOAT
44,3PEPTabcpp,,,3PEPTabcpp
45,12PPDt,22.819783076288022,6.860199846414616e-06,12PPDt
46,3PEPTtex,,,3PEPTtex
47,2DGLCNRx,-24.37088388996716,1.463638224194684,2DGLCNRx
48,2DGLCNRy,-24.37074820939558,1.4636364160934092,2DGLCNRy
49,13PPDH,-17.418634753020513,1.781736304513692,13PPDH
50,2DGULRx,,,2DGULRx
51,3UMPtex,1.220703097715159e-06,3.6600740713765845e-05,3UMPtex
52,2DGULRy,,,2DGULRy
53,13PPDtex,1.525878872143949e-07,6.649401257163845e-06,13PPDtex
54,13PPDtpp,22.81978374472081,3.122464704574668e-06,13PPDtpp
55,42A12BOOXpp,-103.77699279785156,5.134626388549805,42A12BOOXpp
56,14GLUCANabcpp,,,14GLUCANabcpp
57,4HOXPACDtex,0.0,2.1579185158771e-06,4HOXPACDtex
58,14GLUCANtexi,,,14GLUCANtexi
