Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_etha_e,,,EX_etha_e
1,EX_drib_e,,,EX_drib_e
2,EX_csn_e,,,EX_csn_e
3,EX_5mtr_e,,,EX_5mtr_e
4,EX_dtmp_e,,,EX_dtmp_e
5,EX_6pgc_e,,,EX_6pgc_e
6,EX_ctbt_e,,,EX_ctbt_e
7,EX_cu2_e,,,EX_cu2_e
8,EX_Larab_e,,,EX_Larab_e
9,EX_ectoine_e,,,EX_ectoine_e
10,EX_cys__D_e,,,EX_cys__D_e
11,EX_cys__L_e,,,EX_cys__L_e
12,EX_eths_e,,,EX_eths_e
13,EX_cyst__L_e,,,EX_cyst__L_e
14,EX_Lcyst_e,,,EX_Lcyst_e
15,EX_cytd_e,,,EX_cytd_e
16,EX_abt__L_e,,,EX_abt__L_e
17,EX_etoh_e,,,EX_etoh_e
18,EX_dad_2_e,,,EX_dad_2_e
19,EX_dcyt_e,,,EX_dcyt_e
20,EX_fe2_e,,,EX_fe2_e
21,EX_dextrin_e,,,EX_dextrin_e
22,EX_dha_e,,,EX_dha_e
23,EX_ac_e,,,EX_ac_e
24,EX_acac_e,,,EX_acac_e
25,EX_fe3_e,,,EX_fe3_e
26,EX_ferrich_e,,,EX_ferrich_e
27,EX_diact_e,,,EX_diact_e
28,EX_djenk_e,,,EX_djenk_e
29,EX_ferxa_e,,,EX_ferxa_e
30,EX_fol_e,,,EX_fol_e
31,EX_acgam_e,,,EX_acgam_e
32,EX_acmana_e,,,EX_acmana_e
33,EX_acnam_e,,,EX_acnam_e
34,EX_for_e,,,EX_for_e
35,EX_fru_e,,,EX_fru_e
36,EX_actn__R_e,,,EX_actn__R_e
37,EX_ade_e,,,EX_ade_e
38,EX_adn_e,,,EX_adn_e
39,EX_akg_e,,,EX_akg_e
40,EX_ala_B_e,,,EX_ala_B_e
41,EX_ala__D_e,,,EX_ala__D_e
42,EX_ala_L_Thr__L_e,,,EX_ala_L_Thr__L_e
43,EX_ala_L_asp__L_e,,,EX_ala_L_asp__L_e
44,EX_ala__L_e,,,EX_ala__L_e
45,EX_ala_L_gln__L_e,,,EX_ala_L_gln__L_e
46,EX_ala_L_glu__L_e,,,EX_ala_L_glu__L_e
47,EX_L_alagly_e,,,EX_L_alagly_e
