Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,10M3HDHL,,,10M3HDHL
1,10M3OACPO,,,10M3OACPO
2,10M3OUO,,,10M3OUO
3,10MDOD,,,10MDOD
4,10MTDAO,,,10MTDAO
5,10MTU2A,,,10MTU2A
6,10MUAM,,,10MUAM
7,11M3ODO,,,11M3ODO
8,11MDAMCA,,,11MDAMCA
9,11MHDOD,,,11MHDOD
10,11MTRDOC,,,11MTRDOC
11,12M3HTDH,,,12M3HTDH
12,12M3HTHL,,,12M3HTHL
13,12M3OXOT,,,12M3OXOT
14,12M3TDA,,,12M3TDA
15,12MTACPM,,,12MTACPM
16,12MTT2E,,,12MTT2E
17,12TTACA,,,12TTACA
18,ACALD,-15.0501070426161,1.046157430002322,ACALD
19,3OAS120_2,,,3OAS120_2
20,13M3HTDAHL,,,13M3HTDAHL
21,13M3OTDAO,,,13M3OTDAO
22,13MTDAM,,,13MTDAM
23,13MTTDAO,,,13MTTDAO
24,14M3HDEC,,,14M3HDEC
25,ACALDt,11.409891688812849,0.0,ACALDt
26,14M3HPAHL,,,14M3HPAHL
27,14M3OHO,,,14M3OHO
28,14M3OP,,,14M3OP
29,14MHDAAD,,,14MHDAAD
30,14MTACPM,,,14MTACPM
31,14MTHEAO,,,14MTHEAO
32,14MTP2EA,,,14MTP2EA
33,15M3HEXDA,,,15M3HEXDA
34,3OAS140,,,3OAS140
35,3OAS160_2,,,3OAS160_2
36,3OAS200,,,3OAS200
37,3OAS60,,,3OAS60
38,3OAS80_2,,,3OAS80_2
39,3OXDAM,,,3OXDAM
40,4HTHRS_1,-19.988437770544863,0.4067327483389036,4HTHRS_1
41,4ISOHELS,,,4ISOHELS
42,4M3G3P,,,4M3G3P
43,4M3OHAT,,,4M3OHAT
44,4M3OPAO,,,4M3OPAO
45,4M3OXHA,,,4M3OXHA
46,4METPAC,,,4METPAC
47,4MHEAMA,,,4MHEAMA
48,4MTHACP,,,4MTHACP
49,15M3OHAO,,,15M3OHAO
50,15MHDAAD,,,15MHDAAD
51,15MTHACP,,,15MTHACP
52,16M3HDEC,,,16M3HDEC
53,16M3HPAHL,,,16M3HPAHL
54,4MTRPE,,,4MTRPE
55,ACCOAC,-11.506237040611294,2.104689695408815,ACCOAC
56,5DOAN,-2.391317305701252,1.630799651145935,5DOAN
57,5M3HHAL,,,5M3HHAL
58,5MET3OH,,,5MET3OH
59,5MHACC,,,5MHACC
60,5MTH2EO,,,5MTH2EO
61,6M3HHL,,,6M3HHL
62,16M3OHO,,,16M3OHO
63,16M3OP,,,16M3OP
64,16MTHEAO,,,16MTHEAO
65,16MTP2EA,,,16MTP2EA
66,17M3HDEC,,,17M3HDEC
67,17M3OHO,,,17M3OHO
68,17MTHEAO,,,17MTHEAO
69,6M3HOAHL,,,6M3HOAHL
70,6M3OHAO,,,6M3OHAO
71,ACCOAT,-97.12121946525926,2.9900997105869465e-05,ACCOAT
72,6M3OXO,,,6M3OXO
73,6MHACPA,,,6MHACPA
74,6MOAMCA,,,6MOAMCA
75,6MTHAO,,,6MTHAO
76,6MTR2EO,,,6MTR2EO
77,ACGAMT,-0.5047482727937336,0.0002873297489713,ACGAMT
78,6PGALSZ_1,,,6PGALSZ_1
79,ACGApts,0.9600386266858648,0.5327878594398499,ACGApts
80,ACGAptsw,0.9600386266858648,0.5327906608581543,ACGAptsw
81,6PHBG,-3.889225636134391,8.204180717468262,6PHBG
82,23CN2P2,-45.12719445375281,2.626506981333804,23CN2P2
83,23CN2P3,-45.127143614723565,2.6265099484314454,23CN2P3
84,6PHBG2,-3.889225636134391,8.204176902770996,6PHBG2
85,7M3HOACPL,,,7M3HOACPL
86,7M3ODO,,,7M3ODO
87,7MOACA,,,7MOACA
88,7MTROCAC,,,7MTROCAC
89,23CN2P4,-45.12973625619289,2.626517633088317,23CN2P4
90,2A4H6ET,,,2A4H6ET
91,2ACLMM,,,2ACLMM
92,2MACPT,,,2MACPT
93,2MPCAC,,,2MPCAC
94,8M3HDAL,,,8M3HDAL
95,8M3HNAHL,,,8M3HNAHL
96,2MPCTF,,,2MPCTF
97,ACGK_1,24.7223793757046,0.9608864262341544,ACGK_1
98,8M3OAO,,,8M3OAO
99,8M3ONO,,,8M3ONO
100,ACGS,-39.843574125370296,1.509909976940668,ACGS
101,8MDAM,,,8MDAM
102,SEPHCHCS,-50.939790756088,7.061226076783589,SEPHCHCS
103,SHCHCS3,-53.25816900048217,6.676085472106934,SHCHCS3
104,8METNO,,,8METNO
