Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_agm_e,,,EX_agm_e
1,EX_akg_e,,,EX_akg_e
2,EX_ala_B_e,,,EX_ala_B_e
3,EX_ala__D_e,,,EX_ala__D_e
4,EX_ala__L_e,,,EX_ala__L_e
5,EX_alaala_e,,,EX_alaala_e
6,EX_all__D_e,,,EX_all__D_e
7,EX_acmum_e,,,EX_acmum_e
8,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
9,EX_arg__L_e,,,EX_arg__L_e
10,EX_acnam_e,,,EX_acnam_e
11,EX_alltn_e,,,EX_alltn_e
12,EX_acolipa_e,,,EX_acolipa_e
13,EX_ascb__L_e,,,EX_ascb__L_e
14,EX_amp_e,,,EX_amp_e
15,EX_asn__L_e,,,EX_asn__L_e
16,EX_aso3_e,,,EX_aso3_e
17,EX_anhgm_e,,,EX_anhgm_e
18,EX_asp__L_e,,,EX_asp__L_e
19,EX_btn_e,,,EX_btn_e
20,EX_arab__L_e,,,EX_arab__L_e
21,EX_but_e,,,EX_but_e
22,EX_butso3_e,,,EX_butso3_e
23,EX_ca2_e,,,EX_ca2_e
24,EX_acser_e,,,EX_acser_e
25,EX_ade_e,,,EX_ade_e
26,EX_cbi_e,,,EX_cbi_e
27,EX_arbt_e,,,EX_arbt_e
28,EX_adn_e,,,EX_adn_e
29,EX_arbtn_e,,,EX_arbtn_e
30,EX_adocbl_e,,,EX_adocbl_e
31,EX_ag_e,,,EX_ag_e
32,EX_colipa_e,,,EX_colipa_e
33,EX_cbl1_e,,,EX_cbl1_e
34,EX_cd2_e,,,EX_cd2_e
35,EX_cgly_e,,,EX_cgly_e
36,EX_chol_e,,,EX_chol_e
37,EX_chtbs_e,,,EX_chtbs_e
38,EX_cit_e,,,EX_cit_e
39,EX_cl_e,,,EX_cl_e
40,EX_cm_e,,,EX_cm_e
41,EX_cmp_e,,,EX_cmp_e
42,EX_co2_e,,,EX_co2_e
43,EX_cynt_e,,,EX_cynt_e
44,EX_cys__D_e,,,EX_cys__D_e
45,EX_cobalt2_e,,,EX_cobalt2_e
46,EX_cys__L_e,,,EX_cys__L_e
47,EX_cytd_e,,,EX_cytd_e
48,EX_dopa_e,,,EX_dopa_e
49,EX_colipap_e,,,EX_colipap_e
50,EX_dha_e,,,EX_dha_e
51,EX_dimp_e,,,EX_dimp_e
52,EX_dad_2_e,,,EX_dad_2_e
53,EX_damp_e,,,EX_damp_e
54,EX_cpgn_e,,,EX_cpgn_e
55,EX_dca_e,,,EX_dca_e
56,EX_dcmp_e,,,EX_dcmp_e
57,EX_din_e,,,EX_din_e
58,EX_dms_e,,,EX_dms_e
59,EX_dmso_e,,,EX_dmso_e
60,EX_dcyt_e,,,EX_dcyt_e
61,EX_cpgn_un_e,,,EX_cpgn_un_e
62,EX_ddca_e,,,EX_ddca_e
63,EX_doxrbcn_e,,,EX_doxrbcn_e
64,EX_dtmp_e,,,EX_dtmp_e
65,EX_crn_e,,,EX_crn_e
66,EX_dump_e,,,EX_dump_e
67,EX_duri_e,,,EX_duri_e
68,EX_eca4colipa_e,,,EX_eca4colipa_e
69,EX_dgmp_e,,,EX_dgmp_e
70,EX_dgsn_e,,,EX_dgsn_e
71,EX_enlipa_e,,,EX_enlipa_e
72,EX_crn__D_e,,,EX_crn__D_e
73,EX_enter_e,,,EX_enter_e
74,EX_etha_e,,,EX_etha_e
75,EX_fe2_e,,,EX_fe2_e
76,EX_ethso3_e,,,EX_ethso3_e
77,EX_csn_e,,,EX_csn_e
78,EX_etoh_e,,,EX_etoh_e
79,EX_f6p_e,,,EX_f6p_e
80,EX_fald_e,,,EX_fald_e
81,EX_fe3_e,,,EX_fe3_e
82,EX_feoxam_un_e,,,EX_feoxam_un_e
83,EX_for_e,,,EX_for_e
84,EX_g1p_e,,,EX_g1p_e
85,EX_fru_e,,,EX_fru_e
86,EX_fe3dcit_e,,,EX_fe3dcit_e
87,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
88,EX_cu_e,,,EX_cu_e
89,EX_fe3hox_e,,,EX_fe3hox_e
90,EX_frulys_e,,,EX_frulys_e
91,EX_cu2_e,,,EX_cu2_e
92,EX_fruur_e,,,EX_fruur_e
93,EX_fuc__L_e,,,EX_fuc__L_e
94,EX_fe3hox_un_e,,,EX_fe3hox_un_e
95,EX_fecrm_e,,,EX_fecrm_e
96,EX_fecrm_un_e,,,EX_fecrm_un_e
97,EX_feenter_e,,,EX_feenter_e
98,EX_fum_e,,,EX_fum_e
99,EX_fusa_e,,,EX_fusa_e
100,EX_feoxam_e,,,EX_feoxam_e
101,EX_cyan_e,,,EX_cyan_e
102,EX_g3pc_e,,,EX_g3pc_e
103,EX_g3pe_e,,,EX_g3pe_e
104,EX_galct__D_e,,,EX_galct__D_e
105,EX_g3pg_e,,,EX_g3pg_e
106,EX_g3pi_e,,,EX_g3pi_e
107,EX_g3ps_e,,,EX_g3ps_e
108,EX_g6p_e,,,EX_g6p_e
109,EX_gal_e,,,EX_gal_e
110,EX_gal_bD_e,,,EX_gal_bD_e
111,EX_gal1p_e,,,EX_gal1p_e
112,EX_galctn__D_e,,,EX_galctn__D_e
113,EX_galctn__L_e,,,EX_galctn__L_e
114,EX_galt_e,,,EX_galt_e
115,EX_galur_e,,,EX_galur_e
116,EX_gam_e,,,EX_gam_e
117,EX_glcn_e,,,EX_glcn_e
118,EX_gam6p_e,,,EX_gam6p_e
119,EX_gbbtn_e,,,EX_gbbtn_e
120,EX_glcr_e,,,EX_glcr_e
121,EX_gdp_e,,,EX_gdp_e
122,EX_glcur_e,,,EX_glcur_e
123,EX_glcur1p_e,,,EX_glcur1p_e
124,EX_gln__L_e,,,EX_gln__L_e
125,EX_glu__L_e,,,EX_glu__L_e
126,EX_gly_e,,,EX_gly_e
127,EX_glyald_e,,,EX_glyald_e
128,EX_glc__D_e,,,EX_glc__D_e
129,EX_glyb_e,,,EX_glyb_e
130,EX_glyc_e,,,EX_glyc_e
131,EX_h2o2_e,,,EX_h2o2_e
132,EX_h2s_e,,,EX_h2s_e
133,EX_glyc__R_e,,,EX_glyc__R_e
134,EX_glyc2p_e,,,EX_glyc2p_e
135,EX_glyc3p_e,,,EX_glyc3p_e
136,EX_glyclt_e,,,EX_glyclt_e
137,EX_gmp_e,,,EX_gmp_e
